,General ,,,,,,,,,Pricing / PCE or ROLL ,,,,,,,,Dimension Deflated,,,Dimension Inflated / Outer,,,Shipping Details,,,,,,Technical,,Comments
Amended P/N,GAIA P/N,SG P/N,Short Description,Description,Supplementary P/N,Product Category,Manual / Auto,Film Thickness (um),STATUS,C/P USD,DDP GBP,GAIA S/P,SG P/P,SG BB,PCS per CTN/Roll*,PCS / CTN / Rolls per pallet,MOQ Qty (CTN/pallet),Width (mm),Length (mm),Height (perforation) mm,Width (mm),Length (mm),Height (perforation) mm,CTN/Roll per pallet,CTN Width,CTN Length,CTN Height,NETT Weight (Kg) / CTN/ROLL,GROSS Weight (Kg) / CTN/ROLL,Cyclinder Sequence,Sealing Sequence,
GC4555U150,GC4555,IPENDCAPCLAD,,AIR|SHIELD Cladding End Cap | 150micron with hanging bag,,AIR|SHIELD™,Manual,150,Active,0,,1.29,,,,,,,,,,,,,,,,,,,,
GC4580U150,GC4580,,,AIR|SHIELD End Cap - Sun Loungers | Grade 150mu | Application: Garden Furniture,,AIR|SHIELD™,Manual,150,Active,0.96,,,,,200,12,1,,,,,,,,,,,,,,,
,GC4980U150,,,AIR|SHIELD End Cap | Application: White Boards | 2pcs/set | CTN DIMS 63x35x20cm,,AIR|SHIELD™,Manual,150,Active,1.2,,,,,60,36,1,,,,,,,,63,35,20,19.5,20.5,,,
GC5090U150,GC5090,,,AIR|SHIELD Server End Cap | Grade 150um | 2pcs/set,,AIR|SHIELD™,Manual,150,Active,0.57,,0.77,,,120,,1,,,,,,,,63,35,20,19.1,20.1,,,
,SG_10DEFA,IPNOTESML,,"AIR|SHIELD NoteBook Small (10"")",,AIR|SHIELD™,Manual,,Active,0.3873,,0.3368,,,,,,,,,,,,,,,,,,,,
,SG_15DEFA,IPNOTEMED,,"AIR|SHIELD NoteBook Medium (15"") | Design: Q-Bag | 250pcs/CTN",,AIR|SHIELD™,Manual,,Active,0.66,,0.5754,,,,,,,,,,,,,,,,,,,,
,SG_AIRUS2,IPGEN16015090,,AIR|SHIELD Q-Bags Universal Solution #2 Dimensions: 160x150x90mm | Grade 150um,,AIR|SHIELD™,Manual,150,Active,,,0.2397,,,,,,150,160,90,,,,,,,,,,,,
,SG_AIRUS3,IPGEN23021040,,AIR|SHIELD Q-Bags Universal Solution #3 Dimensions: 230x210x40mm | Grade 150um,,AIR|SHIELD™,Manual,150,Active,,,0.3127,,,,,,210,230,40,,,,,,,,,,,,
,SG_AIRUS4,IPGEN28027040,,AIR|SHIELD Q-Bags Universal Solutions #4 Dimensions: 280x270x40mm | Grade 150um,,AIR|SHIELD™,Manual,150,Active,0.2587,,0.337,,,,,,270,280,40,,,,,,,,,,,,
,SG_AIRUS5,IPGEN26030050,,AIR|SHIELD Q-Bag Universal Solution #5 Dimensions:260x300x50mm | Grade 150um,,AIR|SHIELD™,Manual,150,Active,0.3295,,0.4831,,,,,,260,300,50,,,,,,,,,,,,
,SG_AM3029200U120,IPAM300290200,,AIR|MAT 300x 290mm 200m/roll | 120rolls/pallet | Compatible with AIR|INFLATE150,,AIR|MAT™,Auto,120,Active,60.95,,53,,,,,,,,,,,,,,,,,,,,
,SG_AM5029200U120,IPAM500290200,,AIR|MAT 500 x 290mm  200m/roll | 48rolls/pallet,,AIR|MAT™,Auto,120,Active,82.07,,71.37,,,,,,,,,,,,,,,,,,,,
,SG_AM7029200U120,IPAM700290200,,AIR|MAT 700x290mm 200m/roll | 40rolls/pallet | Compatible AIR|INFLATE150,,AIR|MAT™,Auto,120,Active,126.5,,110,,,,,,,,,,,,,,,,,,,,
,SG_AM9029200U120,IPAM900290200,,AIR|MAT 900x290mm 200m/roll | 20rolls/pallet | Compatible AIR|INFLATE150,,AIR|MAT™,Auto,120,Active,165.6,,144,,,,,,,,,,,,,,,,,,,,
,SG_AP400250500Q_22,IPAP400250500,,AIR|PAKK 400(W)mm x 250(L)mm 500m | Grade: 22.5um ,,AIR|PAKK™,Auto,22.5,Active,,,44.7,,,,,,,,,,,,,,,,,,,,
,SG_CC4203601250201,,,CORR CASE 420x360x125mm | Style 0201 | 150K/T B FLUTE GLUED | IKONIC SML DESKTOP CTN,,Corr Case ,,,Active,0.513,,0,,,,,,,,,,,,,360,420,125,,,,,
,SG_CRT000480,CC5252004650203,,"STD Desktop CARTON - Size 525x200x465mm, Style: Fefco0203 Grade: 300KT BC",,Corr Case ,,,Active,1.3,,2.65,,,,,,,,,,,,,,,,,,,,
,SG_CRT000553,CC5001504150203,,"Small Desktop Carton - Size:500x150x415mm, Style:Fefco0203, Grade: 300K/T BC",,Corr Case ,,,Active,1.5,,0,,,,,,,,,,,,,,,,,,,,
,SG_CTN000479,CC6103508000203,,AIO Desktop Carton - Size 610x350x800mm Style: Fefco 0203 Grade 300 K/T BC,,Corr Case ,,,Active,2.925,,3.1,,,,,,,,,,,,,,,,,,,,
,SG_CTN000490,CC5264151880201,,"STD Desktop Carton B2B - Size 526x415x188mm, Style: Fefco0201 Grade: 300KT BC",,Corr Case ,,,Active,0.4739,,,,,,,,,,,,,,,,,,,,,,
,SG_CTN357519700427,SG004153,,"15"" Laptop (15DEFA) Carton | 357x519x70mm Fefco 0427 Plain | MOQ 400pcs / pallet",,Corr Case ,,,Active,0.44,,,,,,,,,,,,,,,,,,,,,,
,SG_GC2169A150,IPDESKTOPSTDTA,,AIR|SHIELD Desktop STD B2B: Design: End Cap  | 200pcs/CTN | 2 pcs/kit,,AIR|SHIELD™,Manual,150,Active,0.6785,,0.78,,,200,,,,,,,,,,,,,,,,,
,SG_GC2210A,IPNOTEENDCAPSML,,AIR|SHIELD NoteBook End Cap SML | Grade 150micron | Application: ITC,,AIR|SHIELD™,Manual,150,Active,0.182,,0.265,,,,,,,,,,,,,,,,,,,,
,SG_GC2210B150,IPNOTEENDCAPSTD,,AIR|SHIELD Notebook End Cap LRG | Grade 150mu | Application - ITC,,AIR|SHIELD™,Manual,150,Active,0.4025,,0.35,,,,,,,,,,,,,,,,,,,,
,SG_GC2712,IPPHONE,,AIR|SHIELD Smart Phone | Q-Bag | 1000pcs/CTN,,AIR|SHIELD™,Manual,,Active,0.3571,,0.3106,,,1000,,,,,,,,,,,,,,,,,
,SG_GC3619B,,,TRANS|CASE TV U Block : AIR|SHIELD | 200mu | Compatible with Mammoth TV case,TC70MAM | TC75MAM_SAM,AIR|SHIELD™,Manual,200,Active,,,2.668,,,,,,,,,,,,,,,,,,,,
,SG_GC3785, IPGEN12013080,,AIR|SHIELD Q-Bags Universal Solution #1 Dimensions: 120 x 130 x 80mm | Grade 150um,,AIR|SHIELD™,Manual,150,Active,,,0.2032,,,,,,120,130,80,,,,,,,,,,,,
,SG_GC4010B200,IPAIOSTDBH,,AIR|SHIELD AlO STD; Design: End Cap  | 60pcs/CTN,,AIR|SHIELD™,Manual,60,Active,3.2,,2.79,,,60,,,,,,,,,,,,,,,,,
,SG_GC4013A,IPDESKTOPSMLBH,,AIR|SHIELD Desktop SML: Design: L Bag | Grade: 200um,,AIR|SHIELD™,Manual,200,Active,2.77,,3.18,,,,,,,,,,,,,,,,,,,,
,SG_GC4043,IPGEN1009525,,AIR|SHIELD Universal Solution #6 Dimensions: 100x95x25mm | Q-Bag | Grade: 150um,,AIR|SHIELD™,Manual,150,Active,,,0.2154,,,,,,95,100,25,,,,,,,,,,,,
,SG_GC4078,IPDESKTOPSTD,,AIR|SHIELD Desktop STD: Design: End Cap | Grade: 200 micron | 2pcs per kit,,AIR|SHIELD™,Manual,200,Active,0.711,,1.643,,,150,,,,,,,,,,,,,,,,,
,SG_GC4243B,IPCORNERSTD,,AIR|SHIELD Corner Cushion STD - Inflate Dims 250mm x 260mm | Grade 150um 200pcs/roll | ,,AIR|SHIELD™,Auto,150,Active,0.21,,0.308,,,200*,,,,,,250,260,,,,,,,,,,
,SG_GC4322A,IPUTYPESTD,,"AIR|SHIELD U-Type SML Cushion  Inflated Dims: 175mm x 300mm  Grade: 150 micron, 250pcs/roll",,AIR|SHIELD™,Auto,150,Active,0.206,,0.402,,,250*,,,,,,175,300,,,,,,,,,,
,SG_GC4356B,IPUTYPELRG,,"AIR|SHIELD U-Type LRG Cushion  Inflated Dims: 360mm x 320mm  Grade: 150 micron, 150pcs/roll",,AIR|SHIELD™,Auto,150,Active,0.37,,0.55,,,150*,,,,,,320,360,,,,,,,,,,
,SG_GC4446,IPRINGCDL,,AIR|SHIELD Design: Ring  Grade: 150um  Application: Candle,,AIR|SHIELD™,Manual,150,Active,0.14,0.265,,,,,,,,,,,,,,,,,,,,,
,SG_GC4459B,,,AIR|SHIELD Curved Door STD Roll | Design: End Cap | Grade: 150um | Compatible with AIR|INFLATE150,,AIR|SHIELD™,Auto,150,Active,0,0.96,,,,,,,,,,,,,,,,,,,,,
,SG_GC4533C,IPCURVEDOOR,,AIR|SHIELD Curve Door | Grade 150 micron | 70pcs/roll,,AIR|SHIELD™,Auto,150,Active,,1.13,,,,70*,,,,,,,,,,,,,,,,,
